Seed,Learned tight sets,Total tight sets,Fraction of tight sets seen
1234,14,41,0.34146341463414637
1234,22,47,0.46808510638297873
1234,20,46,0.43478260869565216
1234,21,45,0.4666666666666667
1234,17,45,0.37777777777777777
1234,23,45,0.5111111111111111
1234,25,45,0.5555555555555556
1234,23,44,0.5227272727272727
1234,25,45,0.5555555555555556
1234,25,47,0.5319148936170213
1234,24,44,0.5454545454545454
1234,24,44,0.5454545454545454
1234,22,45,0.4888888888888889
1234,23,47,0.48936170212765956
1234,22,44,0.5
1234,24,45,0.5333333333333333
1234,24,46,0.5217391304347826
1234,24,45,0.5333333333333333
1234,24,47,0.5106382978723404
1234,24,46,0.5217391304347826
1234,24,43,0.5581395348837209
1234,24,46,0.5217391304347826
1234,24,44,0.5454545454545454
1234,24,43,0.5581395348837209
1234,20,47,0.425531914893617
1234,24,47,0.5106382978723404
1234,26,46,0.5652173913043478
1234,25,47,0.5319148936170213
1234,24,47,0.5106382978723404
1234,24,43,0.5581395348837209
1234,25,44,0.5681818181818182
1234,19,45,0.4222222222222222
1234,25,45,0.5555555555555556
1234,24,46,0.5217391304347826
1234,25,42,0.5952380952380952
1234,24,43,0.5581395348837209
1234,24,47,0.5106382978723404
1234,24,47,0.5106382978723404
1234,25,44,0.5681818181818182
1234,24,44,0.5454545454545454
1234,24,44,0.5454545454545454
1234,25,46,0.5434782608695652
1234,24,47,0.5106382978723404
1234,24,45,0.5333333333333333
1234,24,46,0.5217391304347826
1234,24,45,0.5333333333333333
1234,24,44,0.5454545454545454
1234,25,46,0.5434782608695652
1234,24,44,0.5454545454545454
1234,24,43,0.5581395348837209
1234,26,48,0.5416666666666666
1234,24,44,0.5454545454545454
1234,25,44,0.5681818181818182
1234,24,47,0.5106382978723404
1234,24,45,0.5333333333333333
1234,25,43,0.5813953488372093
1234,25,44,0.5681818181818182
1234,24,44,0.5454545454545454
1234,25,45,0.5555555555555556
1234,24,44,0.5454545454545454
1234,24,44,0.5454545454545454
1234,24,46,0.5217391304347826
1234,25,46,0.5434782608695652
1234,26,45,0.5777777777777777
1234,24,45,0.5333333333333333
1234,24,45,0.5333333333333333
1234,24,43,0.5581395348837209
1234,24,45,0.5333333333333333
1234,25,45,0.5555555555555556
1234,25,44,0.5681818181818182
1234,25,44,0.5681818181818182
1234,24,45,0.5333333333333333
1234,24,45,0.5333333333333333
1234,25,46,0.5434782608695652
1234,24,43,0.5581395348837209
1234,25,46,0.5434782608695652
1234,24,44,0.5454545454545454
1234,25,45,0.5555555555555556
1234,24,46,0.5217391304347826
1234,24,44,0.5454545454545454
1234,24,44,0.5454545454545454
1234,24,45,0.5333333333333333
1234,24,45,0.5333333333333333
1234,24,46,0.5217391304347826
1234,24,46,0.5217391304347826
1234,25,46,0.5434782608695652
1234,24,45,0.5333333333333333
1234,24,44,0.5454545454545454
1234,25,42,0.5952380952380952
1234,24,43,0.5581395348837209
1234,26,46,0.5652173913043478
1234,25,46,0.5434782608695652
1234,24,43,0.5581395348837209
1234,25,45,0.5555555555555556
1234,25,45,0.5555555555555556
1234,24,44,0.5454545454545454
1234,24,45,0.5333333333333333
1234,25,44,0.5681818181818182
1234,26,46,0.5652173913043478
1234,24,46,0.5217391304347826
1234,25,46,0.5434782608695652
1234,25,47,0.5319148936170213
1234,24,44,0.5454545454545454
1234,24,46,0.5217391304347826
1234,25,46,0.5434782608695652
1234,25,43,0.5813953488372093
1234,25,47,0.5319148936170213
1234,24,47,0.5106382978723404
1234,24,46,0.5217391304347826
1234,24,45,0.5333333333333333
1234,24,47,0.5106382978723404
1234,25,44,0.5681818181818182
1234,24,46,0.5217391304347826
1234,24,42,0.5714285714285714
1234,25,46,0.5434782608695652
1234,24,44,0.5454545454545454
1234,23,44,0.5227272727272727
1234,24,46,0.5217391304347826
1234,25,44,0.5681818181818182
1234,24,47,0.5106382978723404
1234,24,45,0.5333333333333333
1234,25,46,0.5434782608695652
1234,25,44,0.5681818181818182
1234,24,42,0.5714285714285714
1234,26,46,0.5652173913043478
1234,25,43,0.5813953488372093
1234,25,46,0.5434782608695652
