Seed,Learned tight sets,Total tight sets,Fraction of tight sets seen
1234,2,81,0.024691358024691357
1234,4,82,0.04878048780487805
1234,4,82,0.04878048780487805
1234,4,83,0.04819277108433735
1234,4,79,0.05063291139240506
1234,4,80,0.05
1234,4,81,0.04938271604938271
1234,4,82,0.04878048780487805
1234,4,84,0.047619047619047616
1234,4,83,0.04819277108433735
1234,4,80,0.05
1234,4,83,0.04819277108433735
1234,5,80,0.0625
1234,4,81,0.04938271604938271
1234,4,85,0.047058823529411764
1234,4,84,0.047619047619047616
1234,4,83,0.04819277108433735
1234,4,82,0.04878048780487805
1234,4,85,0.047058823529411764
1234,4,84,0.047619047619047616
1234,4,82,0.04878048780487805
1234,4,82,0.04878048780487805
1234,5,81,0.06172839506172839
1234,4,82,0.04878048780487805
1234,5,82,0.06097560975609756
1234,6,83,0.07228915662650602
1234,5,82,0.06097560975609756
1234,4,80,0.05
1234,5,82,0.06097560975609756
1234,4,83,0.04819277108433735
1234,4,83,0.04819277108433735
1234,4,82,0.04878048780487805
1234,4,82,0.04878048780487805
1234,4,84,0.047619047619047616
1234,5,81,0.06172839506172839
1234,4,83,0.04819277108433735
1234,4,83,0.04819277108433735
1234,5,81,0.06172839506172839
1234,4,81,0.04938271604938271
1234,5,83,0.060240963855421686
1234,4,84,0.047619047619047616
1234,5,81,0.06172839506172839
1234,5,81,0.06172839506172839
1234,4,83,0.04819277108433735
1234,5,83,0.060240963855421686
1234,4,80,0.05
1234,4,78,0.05128205128205128
1234,4,80,0.05
1234,4,78,0.05128205128205128
1234,4,80,0.05
1234,4,82,0.04878048780487805
1234,5,82,0.06097560975609756
1234,5,82,0.06097560975609756
1234,4,83,0.04819277108433735
1234,5,79,0.06329113924050633
1234,4,82,0.04878048780487805
1234,5,81,0.06172839506172839
1234,4,85,0.047058823529411764
1234,4,81,0.04938271604938271
1234,5,82,0.06097560975609756
1234,4,81,0.04938271604938271
1234,4,81,0.04938271604938271
1234,4,82,0.04878048780487805
1234,4,87,0.04597701149425287
1234,5,84,0.05952380952380952
1234,5,80,0.0625
1234,4,82,0.04878048780487805
1234,4,83,0.04819277108433735
1234,4,84,0.047619047619047616
1234,4,84,0.047619047619047616
1234,4,83,0.04819277108433735
1234,4,80,0.05
1234,5,83,0.060240963855421686
1234,5,84,0.05952380952380952
1234,4,79,0.05063291139240506
1234,4,82,0.04878048780487805
1234,5,83,0.060240963855421686
1234,4,83,0.04819277108433735
1234,4,86,0.046511627906976744
1234,4,84,0.047619047619047616
1234,4,81,0.04938271604938271
1234,5,82,0.06097560975609756
1234,4,82,0.04878048780487805
1234,4,80,0.05
1234,4,81,0.04938271604938271
1234,4,81,0.04938271604938271
1234,5,83,0.060240963855421686
1234,5,79,0.06329113924050633
