Seed,Learned tight sets,Total tight sets,Fraction of tight sets seen
1234,20,81,0.24691358024691357
1234,21,82,0.25609756097560976
1234,32,82,0.3902439024390244
1234,31,83,0.37349397590361444
1234,27,79,0.34177215189873417
1234,24,80,0.3
1234,28,81,0.345679012345679
1234,35,82,0.4268292682926829
1234,32,84,0.38095238095238093
1234,32,83,0.3855421686746988
1234,35,80,0.4375
1234,28,83,0.3373493975903614
1234,35,80,0.4375
1234,39,81,0.48148148148148145
1234,27,85,0.3176470588235294
1234,34,84,0.40476190476190477
1234,38,83,0.4578313253012048
1234,33,82,0.4024390243902439
1234,33,85,0.38823529411764707
1234,38,84,0.4523809523809524
1234,34,82,0.4146341463414634
1234,31,82,0.3780487804878049
1234,34,81,0.41975308641975306
1234,32,82,0.3902439024390244
1234,40,82,0.4878048780487805
1234,38,83,0.4578313253012048
1234,34,82,0.4146341463414634
1234,37,80,0.4625
1234,41,82,0.5
1234,32,83,0.3855421686746988
1234,37,83,0.4457831325301205
1234,36,82,0.43902439024390244
1234,39,82,0.47560975609756095
1234,39,84,0.4642857142857143
1234,39,81,0.48148148148148145
1234,37,83,0.4457831325301205
1234,38,83,0.4578313253012048
1234,34,81,0.41975308641975306
1234,35,81,0.43209876543209874
1234,42,83,0.5060240963855421
1234,37,84,0.44047619047619047
1234,41,81,0.5061728395061729
1234,32,81,0.3950617283950617
1234,36,83,0.43373493975903615
1234,40,83,0.4819277108433735
1234,32,80,0.4
1234,31,78,0.3974358974358974
1234,40,80,0.5
1234,34,78,0.4358974358974359
1234,41,80,0.5125
1234,37,82,0.45121951219512196
1234,39,82,0.47560975609756095
1234,40,82,0.4878048780487805
1234,35,83,0.42168674698795183
1234,40,79,0.5063291139240507
1234,39,82,0.47560975609756095
1234,38,81,0.4691358024691358
1234,32,85,0.3764705882352941
1234,39,81,0.48148148148148145
1234,39,82,0.47560975609756095
1234,38,81,0.4691358024691358
1234,39,81,0.48148148148148145
1234,38,82,0.4634146341463415
1234,39,87,0.4482758620689655
1234,41,84,0.4880952380952381
1234,37,80,0.4625
1234,36,82,0.43902439024390244
1234,35,83,0.42168674698795183
1234,35,84,0.4166666666666667
1234,41,84,0.4880952380952381
1234,42,83,0.5060240963855421
1234,34,80,0.425
1234,40,83,0.4819277108433735
1234,38,84,0.4523809523809524
1234,41,79,0.5189873417721519
1234,37,82,0.45121951219512196
1234,39,83,0.46987951807228917
